epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,108.326,1.34111,0.68631,1.22474,0.9452,0.93333,0.96714,0.50051,1.68018,0.67414,1.44276,0.000614,0.000614,0.000614
44,110.139,1.34511,0.66319,1.24542,0.96599,0.94694,0.97398,0.5491,1.57143,0.60482,1.34217,0.000581,0.000581,0.000581
45,111.957,1.35467,0.68437,1.24777,0.96249,0.95,0.97378,0.58246,1.51456,0.56585,1.28624,0.000548,0.000548,0.000548
46,113.829,1.30511,0.64424,1.22198,0.96515,0.95,0.97619,0.59827,1.48406,0.53761,1.26234,0.000515,0.000515,0.000515
47,115.754,1.30654,0.64335,1.23678,0.96543,0.95,0.98083,0.56916,1.57089,0.57719,1.33333,0.000482,0.000482,0.000482
48,117.586,1.28001,0.61242,1.1981,0.98104,0.95,0.98112,0.55411,1.58943,0.57321,1.34913,0.000449,0.000449,0.000449
49,120.077,1.25426,0.63497,1.20703,0.97835,0.95,0.98152,0.58192,1.53388,0.5529,1.30096,0.000416,0.000416,0.000416
50,122.095,1.30904,0.62149,1.22463,0.9787,0.95,0.98294,0.59479,1.50936,0.51624,1.27587,0.000383,0.000383,0.000383
51,125.895,1.30113,0.59795,1.22484,0.97904,0.95,0.98347,0.57877,1.52771,0.51327,1.29891,0.00035,0.00035,0.00035
52,128.123,1.27927,0.58885,1.22426,0.97879,0.95,0.9825,0.58763,1.50971,0.5191,1.28047,0.000317,0.000317,0.000317
53,129.909,1.20525,0.56551,1.16863,0.98217,0.95,0.98218,0.58968,1.51283,0.52491,1.28546,0.000284,0.000284,0.000284
54,132.222,1.27526,0.57181,1.21428,0.9299,0.98333,0.98152,0.59137,1.50551,0.5063,1.28834,0.000251,0.000251,0.000251
55,134.514,1.2362,0.5589,1.21801,0.96607,0.94923,0.98164,0.57283,1.54476,0.51917,1.32167,0.000218,0.000218,0.000218
56,136.344,1.18723,0.54647,1.17316,0.96228,0.95,0.98115,0.56604,1.55792,0.54001,1.33323,0.000185,0.000185,0.000185
57,138.176,1.18718,0.5342,1.21617,0.95017,0.95354,0.98115,0.56753,1.53881,0.53573,1.32014,0.000152,0.000152,0.000152
58,139.974,1.18256,0.54373,1.17918,0.95057,0.96159,0.98169,0.56545,1.51121,0.52095,1.29724,0.000119,0.000119,0.000119
59,141.819,1.18218,0.54521,1.19453,0.95059,0.962,0.98069,0.56507,1.52225,0.50929,1.3047,8.6e-05,8.6e-05,8.6e-05
60,143.679,1.21563,0.537,1.17165,0.95056,0.96147,0.98102,0.56711,1.54197,0.5145,1.32237,5.3e-05,5.3e-05,5.3e-05
